,Jurisdiction,LAhalfand10,Pop2010,OHU2010,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,LOWI_per
35,Kentucky,1,2393606,959702,845665.0,561836.0,311157.0,1986113.0,268956.0,40589.0,1856.0,5951.0,90141.0,94156.0,78955.0,131275.0,0.3533016712023616
36,New Jersey,0,2372201,853222,818495.0,563608.0,264397.0,1350614.0,476793.0,159393.0,985.0,13305.0,371111.0,737687.0,189431.0,130540.0,0.34503610781717065
37,Missouri,0,1603164,628028,552558.0,383814.0,234963.0,1449670.0,83260.0,13717.0,1264.0,8970.0,46283.0,47466.0,37118.0,75118.0,0.3446671706700001
38,United States,0,91132485,34733952,31407468.0,21215438.0,12063938.0,67587011.0,10152811.0,3909156.0,129476.0,943163.0,8389823.0,14436336.0,4542964.0,4715999.0,0.3446352637042653
39,Indiana,1,4491990,1749884,1545754.0,1110398.0,568183.0,3599855.0,536493.0,88221.0,1878.0,13478.0,252065.0,329791.0,127829.0,211739.0,0.34411341076004176
40,Nevada,1,2187469,818389,749810.0,534014.0,264124.0,1459024.0,183228.0,165252.0,13844.0,25822.0,340299.0,536597.0,61695.0,99268.0,0.34277514332774545
41,Oregon,1,2805829,1099298,954016.0,662238.0,376504.0,2311414.0,54484.0,117321.0,11282.0,37089.0,274239.0,355347.0,80702.0,196669.0,0.34001216752695906
42,Oregon,0,1025245,419640,348185.0,204215.0,157029.0,893200.0,14722.0,23942.0,2122.0,16114.0,75145.0,94715.0,38329.0,70330.0,0.33961150749333086
43,District of Columbia,1,297651,119852,100486.0,56610.0,37664.0,99244.0,173714.0,8757.0,109.0,855.0,14972.0,18534.0,38133.0,21570.0,0.3375967156166114
44,Montana,0,365252,149231,119764.0,83508.0,53000.0,332609.0,1064.0,2338.0,216.0,17930.0,11095.0,9658.0,6767.0,14006.0,0.3278941662194868
45,Michigan,1,6760560,2663674,2178660.0,1597506.0,911296.0,5088773.0,1157757.0,202480.0,1846.0,37969.0,271735.0,307464.0,227993.0,392105.0,0.32226028613014307
